alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,152,1,0.468856308968243
0.5,0.5,1,0.99,10,20,152,2,0.465125787387649
0.5,0.5,1,0.99,10,20,152,3,0.511948408354239
0.5,0.5,1,0.99,10,20,152,4,0.493564364213745
0.5,0.5,1,0.99,10,20,152,5,0.480644974113445
0.5,0.5,1,0.99,10,20,152,6,0.489019147030831
0.5,0.5,1,0.99,10,20,152,7,0.534197815462319
0.5,0.5,1,0.99,10,20,152,8,0.512799418968822
0.5,0.5,1,0.99,10,20,152,9,0.525553650030349
0.5,0.5,1,0.99,10,20,152,10,0.343951645098834
