alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,134,1,0.395688339542808
0.5,0.5,1,0.99,10,20,134,2,0.519091951721257
0.5,0.5,1,0.99,10,20,134,3,0.501072313325966
0.5,0.5,1,0.99,10,20,134,4,0.540704954672966
0.5,0.5,1,0.99,10,20,134,5,0.55600337044132
0.5,0.5,1,0.99,10,20,134,6,0.456024136969441
0.5,0.5,1,0.99,10,20,134,7,0.484875240601805
0.5,0.5,1,0.99,10,20,134,8,0.5114332945688
0.5,0.5,1,0.99,10,20,134,9,0.462667525436829
0.5,0.5,1,0.99,10,20,134,10,0.430952748002555
