alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,160,1,0.448608058216554
0.5,0.5,1,0.99,10,20,160,2,0.426039251732984
0.5,0.5,1,0.99,10,20,160,3,0.493062632679113
0.5,0.5,1,0.99,10,20,160,4,0.542616236123519
0.5,0.5,1,0.99,10,20,160,5,0.557629404440412
0.5,0.5,1,0.99,10,20,160,6,0.474363412152123
0.5,0.5,1,0.99,10,20,160,7,0.494792873615167
0.5,0.5,1,0.99,10,20,160,8,0.518954365322469
0.5,0.5,1,0.99,10,20,160,9,0.593758965403004
0.5,0.5,1,0.99,10,20,160,10,0.451750534094535
