alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,122,1,0.44970156465744
0.5,0.5,1,0.99,10,20,122,2,0.36438301376118
0.5,0.5,1,0.99,10,20,122,3,0.521600092500974
0.5,0.5,1,0.99,10,20,122,4,0.495746220193114
0.5,0.5,1,0.99,10,20,122,5,0.380019693819808
0.5,0.5,1,0.99,10,20,122,6,0.529557103370603
0.5,0.5,1,0.99,10,20,122,7,0.453795330621127
0.5,0.5,1,0.99,10,20,122,8,0.409303954342984
0.5,0.5,1,0.99,10,20,122,9,0.537338493952397
0.5,0.5,1,0.99,10,20,122,10,0.339041167396151
