alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,180,1,0.534516925976094
0.5,0.5,1,0.99,10,20,180,2,0.581430114658545
0.5,0.5,1,0.99,10,20,180,3,0.512266356510727
0.5,0.5,1,0.99,10,20,180,4,0.46025707906431
0.5,0.5,1,0.99,10,20,180,5,0.435305872032983
0.5,0.5,1,0.99,10,20,180,6,0.50980843222828
0.5,0.5,1,0.99,10,20,180,7,0.410340685420594
0.5,0.5,1,0.99,10,20,180,8,0.515155916810451
0.5,0.5,1,0.99,10,20,180,9,0.515995950389072
0.5,0.5,1,0.99,10,20,180,10,0.505257410328065
