alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,141,1,0.470406002644249
0.5,0.5,1,0.99,10,20,141,2,0.490377835094504
0.5,0.5,1,0.99,10,20,141,3,0.457302266668834
0.5,0.5,1,0.99,10,20,141,4,0.489879378701881
0.5,0.5,1,0.99,10,20,141,5,0.470466180052131
0.5,0.5,1,0.99,10,20,141,6,0.510490967615947
0.5,0.5,1,0.99,10,20,141,7,0.56605098348915
0.5,0.5,1,0.99,10,20,141,8,0.470373111910311
0.5,0.5,1,0.99,10,20,141,9,0.498978815299962
0.5,0.5,1,0.99,10,20,141,10,0.381310066494947
