low_avg;iteration;mean_r_worst;mean_r
10;75;0,295504833012946;0,204422751872453
20;28;0,314646015037098;0,196330248689334
10;28;0,352010920116106;0,215707153716506
20;57;0,353459324648401;0,209607516652594
20;88;0,356067916645288;0,211635460342552
20;74;0,369005475563338;0,217379678048448
