"","trial","RT","value"
"1",1,1,5
"2",1,2,4
"3",1,3,4
"4",1,4,4
"5",1,5,3
"6",1,6,3
"7",1,7,3
"8",1,8,3
"9",1,9,2
"10",1,10,2
"11",1,11,2
"12",1,12,2
"13",1,13,2
"14",1,14,2
"15",1,15,2
"16",1,16,2
"17",1,17,2
"18",1,18,2
"19",1,19,2
"20",1,20,2
"21",1,21,2
"22",1,22,3
"23",1,23,3
"24",1,24,4
"25",1,25,4
"26",1,26,5
"27",1,27,5
"28",1,28,6
"29",1,29,7
"30",1,30,8
"31",1,31,9
"32",1,32,10
"33",1,33,11
"34",1,34,12
"35",1,35,14
"36",1,36,15
"37",1,37,17
"38",1,38,19
"39",1,39,20
"40",1,40,22
"41",1,41,24
"42",1,42,27
"43",1,43,29
"44",1,44,31
"45",1,45,34
"46",1,46,36
"47",1,47,39
"48",1,48,42
"49",1,49,45
"50",1,50,48
"51",1,51,51
"52",1,52,54
"53",1,53,57
"54",1,54,61
"55",1,55,64
"56",1,56,68
"57",1,57,72
"58",1,58,76
"59",1,59,79
"60",1,60,83
"61",1,61,87
"62",1,62,91
"63",1,63,95
"64",1,64,100
"65",1,65,104
"66",1,66,108
"67",1,67,112
"68",1,68,116
"69",1,69,121
"70",1,70,125
"71",1,71,129
"72",1,72,133
"73",1,73,137
"74",1,74,141
"75",1,75,145
"76",1,76,149
"77",1,77,153
"78",1,78,157
"79",1,79,161
"80",1,80,164
"81",1,81,168
"82",1,82,171
"83",1,83,174
"84",1,84,177
"85",1,85,180
"86",1,86,183
"87",1,87,186
"88",1,88,188
"89",1,89,190
"90",1,90,192
"91",1,91,194
"92",1,92,196
"93",1,93,197
"94",1,94,198
"95",1,95,199
"96",1,96,200
"97",1,97,201
"98",1,98,201
"99",1,99,201
"100",1,100,201
"101",1,101,201
"102",1,102,200
"103",1,103,199
"104",1,104,198
"105",1,105,197
"106",1,106,196
"107",1,107,194
"108",1,108,192
"109",1,109,190
"110",1,110,188
"111",1,111,186
"112",1,112,183
"113",1,113,180
"114",1,114,178
"115",1,115,175
"116",1,116,171
"117",1,117,168
"118",1,118,165
"119",1,119,161
"120",1,120,158
"121",1,121,154
"122",1,122,150
"123",1,123,146
"124",1,124,142
"125",1,125,138
"126",1,126,134
"127",1,127,130
"128",1,128,126
"129",1,129,122
"130",1,130,118
"131",1,131,114
"132",1,132,110
"133",1,133,106
"134",1,134,102
"135",1,135,98
"136",1,136,94
"137",1,137,90
"138",1,138,86
"139",1,139,82
"140",1,140,79
"141",1,141,75
"142",1,142,71
"143",1,143,68
"144",1,144,64
"145",1,145,61
"146",1,146,58
"147",1,147,55
"148",1,148,52
"149",1,149,49
"150",1,150,46
"151",1,151,43
"152",1,152,40
"153",1,153,38
"154",1,154,35
"155",1,155,33
"156",1,156,31
"157",1,157,29
"158",1,158,26
"159",1,159,24
"160",1,160,23
"161",1,161,21
"162",1,162,19
"163",1,163,18
"164",1,164,16
"165",1,165,15
"166",1,166,13
"167",1,167,12
"168",1,168,11
"169",1,169,10
"170",1,170,9
"171",1,171,8
"172",1,172,7
"173",1,173,6
"174",1,174,5
"175",1,175,5
"176",1,176,4
"177",1,177,4
"178",1,178,3
"179",1,179,3
"180",1,180,2
"181",1,181,2
"182",1,182,2
"183",1,183,1
"184",1,184,1
"185",1,185,1
"186",1,186,1
"187",1,187,1
"188",1,188,1
"189",1,189,1
"190",1,190,1
"191",1,191,1
"192",1,192,1
"193",1,193,1
"194",1,194,2
"195",1,195,2
"196",1,196,2
"197",1,197,2
"198",1,198,3
"199",1,199,3
"200",1,200,3
"201",1,201,4
"202",1,202,4
"203",1,203,5
"204",1,204,5
"205",1,205,6
"206",1,206,6
"207",1,207,7
"208",1,208,7
"209",1,209,8
"210",1,210,8
"211",1,211,9
"212",1,212,9
"213",1,213,10
"214",1,214,11
"215",1,215,11
"216",1,216,12
"217",1,217,13
"218",1,218,13
"219",1,219,14
"220",1,220,15
"221",1,221,15
"222",1,222,16
"223",1,223,17
"224",1,224,18
"225",1,225,18
"226",1,226,19
"227",1,227,20
"228",1,228,21
"229",1,229,21
"230",1,230,22
"231",1,231,23
"232",1,232,24
"233",1,233,24
"234",1,234,25
"235",1,235,26
"236",1,236,27
"237",1,237,27
"238",1,238,28
"239",1,239,29
"240",1,240,30
"241",1,241,30
"242",1,242,31
"243",1,243,32
"244",1,244,32
"245",1,245,33
"246",1,246,34
"247",1,247,35
