"","trial","RT","value"
"1",1,1,9
"2",1,2,10
"3",1,3,11
"4",1,4,12
"5",1,5,13
"6",1,6,14
"7",1,7,14
"8",1,8,15
"9",1,9,16
"10",1,10,18
"11",1,11,19
"12",1,12,20
"13",1,13,21
"14",1,14,22
"15",1,15,23
"16",1,16,25
"17",1,17,26
"18",1,18,28
"19",1,19,29
"20",1,20,31
"21",1,21,32
"22",1,22,34
"23",1,23,35
"24",1,24,37
"25",1,25,39
"26",1,26,41
"27",1,27,42
"28",1,28,44
"29",1,29,46
"30",1,30,48
"31",1,31,50
"32",1,32,52
"33",1,33,54
"34",1,34,57
"35",1,35,59
"36",1,36,61
"37",1,37,63
"38",1,38,66
"39",1,39,68
"40",1,40,71
"41",1,41,73
"42",1,42,76
"43",1,43,78
"44",1,44,81
"45",1,45,84
"46",1,46,86
"47",1,47,89
"48",1,48,92
"49",1,49,95
"50",1,50,98
"51",1,51,100
"52",1,52,103
"53",1,53,106
"54",1,54,109
"55",1,55,112
"56",1,56,115
"57",1,57,118
"58",1,58,121
"59",1,59,125
"60",1,60,128
"61",1,61,131
"62",1,62,134
"63",1,63,137
"64",1,64,140
"65",1,65,143
"66",1,66,146
"67",1,67,149
"68",1,68,152
"69",1,69,155
"70",1,70,158
"71",1,71,160
"72",1,72,163
"73",1,73,166
"74",1,74,169
"75",1,75,171
"76",1,76,174
"77",1,77,176
"78",1,78,178
"79",1,79,181
"80",1,80,183
"81",1,81,185
"82",1,82,187
"83",1,83,189
"84",1,84,191
"85",1,85,192
"86",1,86,194
"87",1,87,195
"88",1,88,196
"89",1,89,197
"90",1,90,198
"91",1,91,199
"92",1,92,200
"93",1,93,200
"94",1,94,201
"95",1,95,201
"96",1,96,201
"97",1,97,201
"98",1,98,201
"99",1,99,200
"100",1,100,200
"101",1,101,199
"102",1,102,198
"103",1,103,197
"104",1,104,196
"105",1,105,195
"106",1,106,194
"107",1,107,192
"108",1,108,191
"109",1,109,189
"110",1,110,187
"111",1,111,185
"112",1,112,183
"113",1,113,181
"114",1,114,179
"115",1,115,176
"116",1,116,174
"117",1,117,171
"118",1,118,169
"119",1,119,166
"120",1,120,163
"121",1,121,161
"122",1,122,158
"123",1,123,155
"124",1,124,152
"125",1,125,149
"126",1,126,146
"127",1,127,144
"128",1,128,141
"129",1,129,138
"130",1,130,135
"131",1,131,132
"132",1,132,129
"133",1,133,126
"134",1,134,124
"135",1,135,121
"136",1,136,118
"137",1,137,116
"138",1,138,113
"139",1,139,111
"140",1,140,108
"141",1,141,106
"142",1,142,103
"143",1,143,101
"144",1,144,99
"145",1,145,97
"146",1,146,95
"147",1,147,92
"148",1,148,91
"149",1,149,89
"150",1,150,87
"151",1,151,85
"152",1,152,84
"153",1,153,82
"154",1,154,80
"155",1,155,79
"156",1,156,78
"157",1,157,76
"158",1,158,75
"159",1,159,74
"160",1,160,73
"161",1,161,72
"162",1,162,71
"163",1,163,70
"164",1,164,69
"165",1,165,68
"166",1,166,68
"167",1,167,67
"168",1,168,66
"169",1,169,66
"170",1,170,65
"171",1,171,65
"172",1,172,64
"173",1,173,64
"174",1,174,63
"175",1,175,63
"176",1,176,63
"177",1,177,63
"178",1,178,62
"179",1,179,62
"180",1,180,62
"181",1,181,62
"182",1,182,61
"183",1,183,61
"184",1,184,61
"185",1,185,61
"186",1,186,61
"187",1,187,61
"188",1,188,61
"189",1,189,61
"190",1,190,61
"191",1,191,61
"192",1,192,61
"193",1,193,60
"194",1,194,60
"195",1,195,60
"196",1,196,60
"197",1,197,60
"198",1,198,60
"199",1,199,60
"200",1,200,60
"201",1,201,60
"202",1,202,60
"203",1,203,60
"204",1,204,60
"205",1,205,60
"206",1,206,60
"207",1,207,59
"208",1,208,59
"209",1,209,59
"210",1,210,59
"211",1,211,59
"212",1,212,59
"213",1,213,59
"214",1,214,58
"215",1,215,58
"216",1,216,58
"217",1,217,58
"218",1,218,58
"219",1,219,57
"220",1,220,57
"221",1,221,57
"222",1,222,56
"223",1,223,56
"224",1,224,56
"225",1,225,56
"226",1,226,55
"227",1,227,55
"228",1,228,55
"229",1,229,54
"230",1,230,54
"231",1,231,53
"232",1,232,53
"233",1,233,53
"234",1,234,52
"235",1,235,52
"236",1,236,51
"237",1,237,51
"238",1,238,50
"239",1,239,50
"240",1,240,49
"241",1,241,49
"242",1,242,48
"243",1,243,48
"244",1,244,47
"245",1,245,47
"246",1,246,46
"247",1,247,45
"248",1,248,45
"249",1,249,44
"250",1,250,44
"251",1,251,43
"252",1,252,42
"253",1,253,42
"254",1,254,41
"255",1,255,40
"256",1,256,40
"257",1,257,39
"258",1,258,38
"259",1,259,38
"260",1,260,37
"261",1,261,37
"262",1,262,36
"263",1,263,35
"264",1,264,35
"265",1,265,34
"266",1,266,33
"267",1,267,33
"268",1,268,32
"269",1,269,31
"270",1,270,31
"271",1,271,30
"272",1,272,29
"273",1,273,29
"274",1,274,28
"275",1,275,27
"276",1,276,27
"277",1,277,26
"278",1,278,25
"279",1,279,25
"280",1,280,24
"281",1,281,23
"282",1,282,23
"283",1,283,22
"284",1,284,21
"285",1,285,21
"286",1,286,20
"287",1,287,20
"288",1,288,19
"289",1,289,18
"290",1,290,18
"291",1,291,17
"292",1,292,16
"293",1,293,16
"294",1,294,15
"295",1,295,15
"296",1,296,14
"297",1,297,14
"298",1,298,13
"299",1,299,13
"300",1,300,12
"301",1,301,11
"302",1,302,11
"303",1,303,10
"304",1,304,10
"305",1,305,9
"306",1,306,9
"307",1,307,8
"308",1,308,8
"309",1,309,8
"310",1,310,7
"311",1,311,7
"312",1,312,6
"313",1,313,6
"314",1,314,5
"315",1,315,5
"316",1,316,5
"317",1,317,4
"318",1,318,4
"319",1,319,4
"320",1,320,3
"321",1,321,3
"322",1,322,3
"323",1,323,3
"324",1,324,2
"325",1,325,2
"326",1,326,2
"327",1,327,2
"328",1,328,2
"329",1,329,1
"330",1,330,1
"331",1,331,1
"332",1,332,1
"333",1,333,1
"334",1,334,1
"335",1,335,1
"336",1,336,1
"337",1,337,1
"338",1,338,1
"339",1,339,1
