"","trial","RT","value"
"1",1,1,146
"2",1,2,142
"3",1,3,139
"4",1,4,136
"5",1,5,132
"6",1,6,129
"7",1,7,126
"8",1,8,122
"9",1,9,119
"10",1,10,115
"11",1,11,112
"12",1,12,109
"13",1,13,106
"14",1,14,102
"15",1,15,99
"16",1,16,96
"17",1,17,93
"18",1,18,90
"19",1,19,87
"20",1,20,84
"21",1,21,81
"22",1,22,78
"23",1,23,75
"24",1,24,72
"25",1,25,70
"26",1,26,67
"27",1,27,65
"28",1,28,62
"29",1,29,60
"30",1,30,58
"31",1,31,55
"32",1,32,53
"33",1,33,51
"34",1,34,49
"35",1,35,47
"36",1,36,45
"37",1,37,43
"38",1,38,41
"39",1,39,40
"40",1,40,38
"41",1,41,37
"42",1,42,35
"43",1,43,34
"44",1,44,32
"45",1,45,31
"46",1,46,30
"47",1,47,28
"48",1,48,27
"49",1,49,26
"50",1,50,25
"51",1,51,24
"52",1,52,23
"53",1,53,22
"54",1,54,21
"55",1,55,20
"56",1,56,20
"57",1,57,19
"58",1,58,18
"59",1,59,17
"60",1,60,17
"61",1,61,16
"62",1,62,16
"63",1,63,15
"64",1,64,15
"65",1,65,14
"66",1,66,14
"67",1,67,13
"68",1,68,13
"69",1,69,13
"70",1,70,12
"71",1,71,12
"72",1,72,12
"73",1,73,12
"74",1,74,12
"75",1,75,11
"76",1,76,11
"77",1,77,11
"78",1,78,11
"79",1,79,11
"80",1,80,11
"81",1,81,11
"82",1,82,11
"83",1,83,11
"84",1,84,11
"85",1,85,11
"86",1,86,11
"87",1,87,11
"88",1,88,11
"89",1,89,11
"90",1,90,11
"91",1,91,11
"92",1,92,11
"93",1,93,12
"94",1,94,12
"95",1,95,12
"96",1,96,12
"97",1,97,12
"98",1,98,12
"99",1,99,13
"100",1,100,13
"101",1,101,13
"102",1,102,13
"103",1,103,13
"104",1,104,14
"105",1,105,14
"106",1,106,14
"107",1,107,14
"108",1,108,14
"109",1,109,15
"110",1,110,15
"111",1,111,15
"112",1,112,15
"113",1,113,15
"114",1,114,15
"115",1,115,16
"116",1,116,16
"117",1,117,16
"118",1,118,16
"119",1,119,16
"120",1,120,16
"121",1,121,16
"122",1,122,16
"123",1,123,16
"124",1,124,16
"125",1,125,16
"126",1,126,16
"127",1,127,16
"128",1,128,16
"129",1,129,16
"130",1,130,16
"131",1,131,16
"132",1,132,16
"133",1,133,15
"134",1,134,15
"135",1,135,15
"136",1,136,15
"137",1,137,15
"138",1,138,15
"139",1,139,14
"140",1,140,14
"141",1,141,14
"142",1,142,14
"143",1,143,13
"144",1,144,13
"145",1,145,13
"146",1,146,13
"147",1,147,12
"148",1,148,12
"149",1,149,12
"150",1,150,12
"151",1,151,11
"152",1,152,11
"153",1,153,11
"154",1,154,10
"155",1,155,10
"156",1,156,10
"157",1,157,10
"158",1,158,9
"159",1,159,9
"160",1,160,9
"161",1,161,8
"162",1,162,8
"163",1,163,8
"164",1,164,8
"165",1,165,7
"166",1,166,7
"167",1,167,7
"168",1,168,7
"169",1,169,6
"170",1,170,6
"171",1,171,6
"172",1,172,6
"173",1,173,6
"174",1,174,5
"175",1,175,5
"176",1,176,5
"177",1,177,5
"178",1,178,5
"179",1,179,4
"180",1,180,4
"181",1,181,4
"182",1,182,4
"183",1,183,4
"184",1,184,4
"185",1,185,3
"186",1,186,3
"187",1,187,3
"188",1,188,3
"189",1,189,3
"190",1,190,3
"191",1,191,2
"192",1,192,2
"193",1,193,2
"194",1,194,2
"195",1,195,2
"196",1,196,2
"197",1,197,2
"198",1,198,2
"199",1,199,2
"200",1,200,1
"201",1,201,1
"202",1,202,1
"203",1,203,1
"204",1,204,1
"205",1,205,1
"206",1,206,1
"207",1,207,1
"208",1,208,1
"209",1,209,1
"210",1,210,1
"211",1,211,1
"212",1,212,1
"213",1,213,1
"214",1,214,1
"215",1,215,1
"216",1,216,1
"217",1,217,1
"218",1,218,2
"219",1,219,2
"220",1,220,2
"221",1,221,2
"222",1,222,2
"223",1,223,3
"224",1,224,3
"225",1,225,3
"226",1,226,3
"227",1,227,4
"228",1,228,4
"229",1,229,4
"230",1,230,5
"231",1,231,5
"232",1,232,6
"233",1,233,6
"234",1,234,7
"235",1,235,7
"236",1,236,8
"237",1,237,8
"238",1,238,9
"239",1,239,9
"240",1,240,10
"241",1,241,11
"242",1,242,11
"243",1,243,12
"244",1,244,13
"245",1,245,14
"246",1,246,15
"247",1,247,16
"248",1,248,16
"249",1,249,17
"250",1,250,18
"251",1,251,19
"252",1,252,20
"253",1,253,22
"254",1,254,23
"255",1,255,24
"256",1,256,25
"257",1,257,26
"258",1,258,28
