"","trial","RT","value"
"1",1,1,150
"2",1,2,153
"3",1,3,156
"4",1,4,160
"5",1,5,163
"6",1,6,166
"7",1,7,169
"8",1,8,172
"9",1,9,175
"10",1,10,178
"11",1,11,180
"12",1,12,183
"13",1,13,185
"14",1,14,187
"15",1,15,190
"16",1,16,191
"17",1,17,193
"18",1,18,195
"19",1,19,196
"20",1,20,197
"21",1,21,198
"22",1,22,199
"23",1,23,200
"24",1,24,201
"25",1,25,201
"26",1,26,201
"27",1,27,201
"28",1,28,201
"29",1,29,200
"30",1,30,200
"31",1,31,199
"32",1,32,198
"33",1,33,197
"34",1,34,195
"35",1,35,194
"36",1,36,192
"37",1,37,191
"38",1,38,189
"39",1,39,186
"40",1,40,184
"41",1,41,182
"42",1,42,179
"43",1,43,177
"44",1,44,174
"45",1,45,171
"46",1,46,168
"47",1,47,165
"48",1,48,162
"49",1,49,158
"50",1,50,155
"51",1,51,152
"52",1,52,148
"53",1,53,145
"54",1,54,141
"55",1,55,137
"56",1,56,134
"57",1,57,130
"58",1,58,127
"59",1,59,123
"60",1,60,119
"61",1,61,116
"62",1,62,112
"63",1,63,108
"64",1,64,105
"65",1,65,101
"66",1,66,98
"67",1,67,94
"68",1,68,91
"69",1,69,87
"70",1,70,84
"71",1,71,81
"72",1,72,78
"73",1,73,74
"74",1,74,71
"75",1,75,68
"76",1,76,65
"77",1,77,62
"78",1,78,60
"79",1,79,57
"80",1,80,54
"81",1,81,52
"82",1,82,49
"83",1,83,47
"84",1,84,45
"85",1,85,42
"86",1,86,40
"87",1,87,38
"88",1,88,36
"89",1,89,34
"90",1,90,32
"91",1,91,31
"92",1,92,29
"93",1,93,27
"94",1,94,26
"95",1,95,24
"96",1,96,23
"97",1,97,22
"98",1,98,20
"99",1,99,19
"100",1,100,18
"101",1,101,17
"102",1,102,16
"103",1,103,15
"104",1,104,14
"105",1,105,13
"106",1,106,12
"107",1,107,12
"108",1,108,11
"109",1,109,10
"110",1,110,10
"111",1,111,9
"112",1,112,9
"113",1,113,8
"114",1,114,8
"115",1,115,7
"116",1,116,7
"117",1,117,6
"118",1,118,6
"119",1,119,6
"120",1,120,5
"121",1,121,5
"122",1,122,5
"123",1,123,5
"124",1,124,4
"125",1,125,4
"126",1,126,4
"127",1,127,4
"128",1,128,4
"129",1,129,3
"130",1,130,3
"131",1,131,3
"132",1,132,3
"133",1,133,3
"134",1,134,3
"135",1,135,2
"136",1,136,2
"137",1,137,2
"138",1,138,2
"139",1,139,2
"140",1,140,2
"141",1,141,2
"142",1,142,2
"143",1,143,2
"144",1,144,1
"145",1,145,1
"146",1,146,1
"147",1,147,1
"148",1,148,1
"149",1,149,1
"150",1,150,1
"151",1,151,1
"152",1,152,1
"153",1,153,1
"154",1,154,1
"155",1,155,1
"156",1,156,1
"157",1,157,1
"158",1,158,1
"159",1,159,1
"160",1,160,1
"161",1,161,1
"162",1,162,1
"163",1,163,1
"164",1,164,2
"165",1,165,2
"166",1,166,2
"167",1,167,2
"168",1,168,2
"169",1,169,2
"170",1,170,3
"171",1,171,3
"172",1,172,3
"173",1,173,3
"174",1,174,4
"175",1,175,4
"176",1,176,4
"177",1,177,4
"178",1,178,5
"179",1,179,5
"180",1,180,5
"181",1,181,6
"182",1,182,6
"183",1,183,7
"184",1,184,7
"185",1,185,7
"186",1,186,8
"187",1,187,8
"188",1,188,8
"189",1,189,9
"190",1,190,9
"191",1,191,10
"192",1,192,10
"193",1,193,10
"194",1,194,11
"195",1,195,11
"196",1,196,11
"197",1,197,12
"198",1,198,12
"199",1,199,12
"200",1,200,13
"201",1,201,13
"202",1,202,13
"203",1,203,14
"204",1,204,14
"205",1,205,14
"206",1,206,14
"207",1,207,14
"208",1,208,15
"209",1,209,15
"210",1,210,15
"211",1,211,15
"212",1,212,15
"213",1,213,15
"214",1,214,15
"215",1,215,15
"216",1,216,15
"217",1,217,15
"218",1,218,15
"219",1,219,15
"220",1,220,15
"221",1,221,15
"222",1,222,15
"223",1,223,14
"224",1,224,14
"225",1,225,14
"226",1,226,14
"227",1,227,14
"228",1,228,13
