alpha,gamma,beta,epsilon_u,low_avg,block_length,drift,bump_prom,iteration,r,u_sampled
0.5,0.1,1,0.0833,10,10,1,8,4,0.0747761697372541,0
0.5,0.1,1,0.33,10,10,1,8,4,-0.00351470694200712,0
0.5,0.1,1,0.99,10,10,1,8,4,0.0809932543881799,0
0.5,0.1,1,0.0833,20,10,1,8,4,0.0778920394489196,0
