alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,188,1,0.497431458899628
0.5,0.5,1,0.99,10,20,188,2,0.497431458899628
0.5,0.5,1,0.99,10,20,188,3,0.497431458899628
0.5,0.5,1,0.99,10,20,188,4,0.497431458899628
0.5,0.5,1,0.99,10,20,188,5,0.497431458899628
0.5,0.5,1,0.99,10,20,188,6,0.497431458899628
0.5,0.5,1,0.99,10,20,188,7,0.497431458899628
0.5,0.5,1,0.99,10,20,188,8,0.497431458899628
0.5,0.5,1,0.99,10,20,188,9,0.497431458899628
0.5,0.5,1,0.99,10,20,188,10,0.497431458899628
0.5,0.5,1,0.99,10,20,188,11,0.497431458899628
0.5,0.5,1,0.99,10,20,188,12,0.497431458899628
0.5,0.5,1,0.99,10,20,188,13,0.497431458899628
0.5,0.5,1,0.99,10,20,188,14,0.497431458899628
0.5,0.5,1,0.99,10,20,188,15,0.497431458899628
0.5,0.5,1,0.99,10,20,188,16,0.497431458899628
0.5,0.5,1,0.99,10,20,188,17,0.497431458899628
0.5,0.5,1,0.99,10,20,188,18,0.497431458899628
0.5,0.5,1,0.99,10,20,188,19,0.497431458899628
0.5,0.5,1,0.99,10,20,188,20,0.497431458899628
0.5,0.5,1,0.99,10,20,188,21,0.497431458899628
0.5,0.5,1,0.99,10,20,188,22,0.497431458899628
0.5,0.5,1,0.99,10,20,188,23,0.497431458899628
0.5,0.5,1,0.99,10,20,188,24,0.497431458899628
0.5,0.5,1,0.99,10,20,188,25,0.497431458899628
0.5,0.5,1,0.99,10,20,188,26,0.497431458899628
0.5,0.5,1,0.99,10,20,188,27,0.497431458899628
0.5,0.5,1,0.99,10,20,188,28,0.497431458899628
0.5,0.5,1,0.99,10,20,188,29,0.497431458899628
0.5,0.5,1,0.99,10,20,188,30,0.497431458899628
0.5,0.5,1,0.99,10,20,188,31,0.497431458899628
0.5,0.5,1,0.99,10,20,188,32,0.497431458899628
0.5,0.5,1,0.99,10,20,188,33,0.497431458899628
0.5,0.5,1,0.99,10,20,188,34,0.497431458899628
0.5,0.5,1,0.99,10,20,188,35,0.497431458899628
0.5,0.5,1,0.99,10,20,188,36,0.497431458899628
0.5,0.5,1,0.99,10,20,188,37,0.497431458899628
0.5,0.5,1,0.99,10,20,188,38,0.497431458899628
0.5,0.5,1,0.99,10,20,188,39,0.497431458899628
0.5,0.5,1,0.99,10,20,188,40,0.497431458899628
0.5,0.5,1,0.99,10,20,188,41,0.497431458899628
0.5,0.5,1,0.99,10,20,188,42,0.497431458899628
0.5,0.5,1,0.99,10,20,188,43,0.497431458899628
